   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0 |     -0.587739012466765 |     -0.666285990880741 |     -0.666285990879741 |     -0.666256197235185 |   1.00e-12 |   2.98e-05
    1 |      1.234378314122526 |      2.859497773131349 |      2.859497773132348 |      2.859498247630536 |   9.98e-13 |   4.74e-07
    2 |     -0.642589369631419 |     -0.748576380642255 |     -0.748576380641256 |     -0.748494270102696 |   1.00e-12 |   8.21e-05
    3 |     -1.506784237873084 |    -15.600705966482057 |    -15.600705966481032 |    -15.600705966482233 |   1.02e-12 |   1.76e-13
    4 |     -1.193515241200920 |     -2.523573523966879 |     -2.523573523965871 |     -2.523574844487957 |   1.01e-12 |   1.32e-06
    5 |      0.767871421532458 |      0.965546839989097 |      0.965546839990096 |      0.964909513515880 |   9.99e-13 |   6.37e-04
    6 |     -0.603885486156446 |     -0.689856101595805 |     -0.689856101594805 |     -0.689815592710425 |   1.00e-12 |   4.05e-05
    7 |      0.216242315947109 |      0.219677126168960 |      0.219677126169960 |      0.219677125732193 |   1.00e-12 |   4.37e-10
    8 |      1.181697294148503 |      2.439011871330548 |      2.439011871331541 |      2.439013609862487 |   9.94e-13 |   1.74e-06
    9 |      0.862114574015582 |      1.166535679161967 |      1.166535679162964 |      1.166878698797468 |   9.98e-13 |   3.43e-04
   10 |     -0.454690084431844 |     -0.488852722152507 |     -0.488852722151507 |     -0.488851060778428 |   1.00e-12 |   1.66e-06
   11 |      0.794257420858829 |      1.017877362795145 |      1.017877362796145 |      1.018630376631954 |   1.00e-12 |   7.53e-04
   12 |      0.431665400422625 |      0.460638255582196 |      0.460638255583196 |      0.460637325944428 |   1.00e-12 |   9.30e-07
   13 |      1.298732471433511 |      3.584469056730000 |      3.584469056731000 |      3.584469127695775 |   1.00e-12 |   7.10e-08
   14 |     -0.394174188330241 |     -0.415942815134237 |     -0.415942815133237 |     -0.415942477529177 |   1.00e-12 |   3.38e-07
   15 |     -0.042217422395839 |     -0.042242521811952 |     -0.042242521810952 |     -0.042242521811952 |   1.00e-12 |   6.94e-18
   16 |      1.133624632107955 |      2.139815741339254 |      2.139815741340250 |      2.139820645131467 |   9.96e-13 |   4.90e-06
   17 |      1.167771033371424 |      2.345414472086917 |      2.345414472087912 |      2.345416850358074 |   9.95e-13 |   2.38e-06
   18 |      1.467565805760538 |      9.652622922923639 |      9.652622922924611 |      9.652622922935413 |   9.72e-13 |   1.18e-11
   19 |      1.056921269873363 |      1.771613238635570 |      1.771613238636568 |      1.771633794110355 |   9.99e-13 |   2.06e-05
   20 |     -1.437198738381441 |     -7.440579444904341 |     -7.440579444903333 |     -7.440579445023948 |   1.01e-12 |   1.20e-10
   21 |     -0.006844566196020 |     -0.006844673082966 |     -0.006844673081966 |     -0.006844673082966 |   1.00e-12 |   0.00e+00
   22 |      0.651150894838991 |      0.762021999496361 |      0.762021999497361 |      0.761926505554910 |   1.00e-12 |   9.55e-05
   23 |     -0.996285526571382 |     -1.544756852491021 |     -1.544756852490021 |     -1.544811803355570 |   1.00e-12 |   5.50e-05
   24 |     -0.214531958717571 |     -0.217884902090452 |     -0.217884902089452 |     -0.217884901690340 |   1.00e-12 |   4.00e-10
   25 |      0.305383082105434 |      0.315244328098681 |      0.315244328099680 |      0.315244308255102 |   1.00e-12 |   1.98e-08
   26 |      0.129826592298659 |      0.130560950372611 |      0.130560950373611 |      0.130560950371035 |   1.00e-12 |   1.58e-12
   27 |     -1.483169097197269 |    -11.382753773533848 |    -11.382753773532805 |    -11.382753773536551 |   1.04e-12 |   2.70e-12
   28 |      1.084156702183309 |      1.890075330757967 |      1.890075330758966 |      1.890088026464880 |   9.99e-13 |   1.27e-05
   29 |      0.567535088384244 |      0.637496432796243 |      0.637496432797242 |      0.637476375943355 |   9.99e-13 |   2.01e-05
   30 |      1.149059901024485 |      2.228874766152235 |      2.228874766153233 |      2.228878328268792 |   9.98e-13 |   3.56e-06
   31 |     -0.844194194043491 |     -1.125091100213000 |     -1.125091100211998 |     -1.125516655670971 |   1.00e-12 |   4.26e-04
   32 |     -0.956374917109950 |     -1.417393219384423 |     -1.417393219383424 |     -1.417492268324113 |   1.00e-12 |   9.90e-05
   33 |      0.777751961410508 |      0.984823344037226 |      0.984823344038225 |      0.984083760648322 |   9.99e-13 |   7.40e-04
   34 |      0.175952207428225 |      0.177790757435073 |      0.177790757436073 |      0.177790757390156 |   1.00e-12 |   4.49e-11
   35 |      0.642849362598207 |      0.748982143963921 |      0.748982143964921 |      0.748899653822400 |   1.00e-12 |   8.25e-05
   36 |     -0.106439257757545 |     -0.106843049042043 |     -0.106843049041043 |     -0.106843049041866 |   1.00e-12 |   1.77e-13
   37 |     -0.368622135531139 |     -0.386278859927740 |     -0.386278859926740 |     -0.386278699755003 |   1.00e-12 |   1.60e-07
   38 |      0.959806898402996 |      1.427770584331531 |      1.427770584332531 |      1.427864893119787 |   1.00e-12 |   9.43e-05
   39 |     -1.215055610659485 |     -2.691443228731145 |     -2.691443228730144 |     -2.691444010176090 |   1.00e-12 |   7.81e-07
   40 |     -0.193819641580967 |     -0.196283687006220 |     -0.196283687005220 |     -0.196283686875714 |   1.00e-12 |   1.31e-10
   41 |     -0.028621688313448 |     -0.028629506514292 |     -0.028629506513292 |     -0.028629506514292 |   1.00e-12 |   0.00e+00
   42 |      0.366365403838639 |      0.383687652664000 |      0.383687652665000 |      0.383687503059987 |   1.00e-12 |   1.50e-07
   43 |      0.373492864571613 |      0.391886952810380 |      0.391886952811380 |      0.391886767469038 |   1.00e-12 |   1.85e-07
   44 |      0.432958423173078 |      0.462206576720844 |      0.462206576721844 |      0.462205615517767 |   1.00e-12 |   9.61e-07
   45 |     -0.443260675229525 |     -0.474770018251403 |     -0.474770018250403 |     -0.474768768334372 |   1.00e-12 |   1.25e-06
   46 |      1.182129038949684 |      2.442015133212402 |      2.442015133213395 |      2.442016854624323 |   9.92e-13 |   1.72e-06
   47 |     -1.293918210060900 |     -3.518929630286868 |     -3.518929630285866 |     -3.518929713328500 |   1.00e-12 |   8.30e-08
   48 |     -0.591198816178828 |     -0.671293292453207 |     -0.671293292452207 |     -0.671261450575790 |   1.00e-12 |   3.18e-05
   49 |     -0.655119649862760 |     -0.768314384337693 |     -0.768314384336692 |     -0.768212029615945 |   1.00e-12 |   1.02e-04
   50 |      0.362543033981932 |      0.379308968421748 |      0.379308968422748 |      0.379308835277890 |   1.00e-12 |   1.33e-07
   51 |     -1.543686221654375 |    -36.877577452387108 |    -36.877577452386035 |    -36.877577452387193 |   1.07e-12 |   8.53e-14
   52 |     -0.116723865861002 |     -0.117256870725147 |     -0.117256870724147 |     -0.117256870724659 |   1.00e-12 |   4.88e-13
   53 |      0.627108404315681 |      0.724695242632314 |      0.724695242633314 |      0.724633046482994 |   1.00e-12 |   6.22e-05
   54 |     -0.549790174717480 |     -0.612816552231588 |     -0.612816552230587 |     -0.612802539773717 |   1.00e-12 |   1.40e-05
   55 |     -0.434866112111722 |     -0.464523860700274 |     -0.464523860699274 |     -0.464522851136596 |   1.00e-12 |   1.01e-06
